Node: 0, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
20.0.11.0       20.0.19.2       255.255.255.0   UGS   194    -      -   3
20.0.23.0       20.0.19.2       255.255.255.0   UGS   225    -      -   3
20.0.1.0        10.0.1.1        255.255.255.0   UGS   270    -      -   1
10.0.19.0       20.0.19.2       255.255.255.0   UGS   236    -      -   3
10.0.4.0        10.0.1.1        255.255.255.0   UGS   280    -      -   1
20.0.15.0       10.0.1.1        255.255.255.0   UGS   345    -      -   1
20.0.16.0       10.0.1.1        255.255.255.0   UGS   363    -      -   1
20.0.24.0       20.0.19.2       255.255.255.0   UGS   259    -      -   3
10.0.20.0       20.0.19.2       255.255.255.0   UGS   270    -      -   3

Node: 4, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.2.0        0.0.0.0         255.255.255.0   U     0      -      -   1
10.0.8.0        10.0.2.2        255.255.255.0   UGS   83     -      -   1
10.0.6.0        10.0.2.2        255.255.255.0   UGS   71     -      -   1
20.0.8.0        10.0.2.2        255.255.255.0   UGS   60     -      -   1
10.0.4.0        10.0.2.2        255.255.255.0   UGS   158    -      -   1
10.0.16.0       10.0.2.2        255.255.255.0   UGS   172    -      -   1
20.0.13.0       10.0.2.2        255.255.255.0   UGS   262    -      -   1
20.0.14.0       10.0.2.2        255.255.255.0   UGS   233    -      -   1
20.0.15.0       10.0.2.2        255.255.255.0   UGS   148    -      -   1
20.0.16.0       10.0.2.2        255.255.255.0   UGS   231    -      -   1
20.0.17.0       10.0.2.2        255.255.255.0   UGS   162    -      -   1
20.0.3.0        10.0.2.2        255.255.255.0   UGS   118    -      -   1
10.0.15.0       10.0.2.2        255.255.255.0   UGS   244    -      -   1
20.0.12.0       10.0.2.2        255.255.255.0   UGS   268    -      -   1
20.0.26.0       10.0.2.2        255.255.255.0   UGS   269    -      -   1
10.0.14.0       10.0.2.2        255.255.255.0   UGS   273    -      -   1
10.0.11.0       10.0.2.2        255.255.255.0   UGS   300    -      -   1
20.0.22.0       10.0.2.2        255.255.255.0   UGS   292    -      -   1
20.0.1.0        10.0.2.2        255.255.255.0   UGS   223    -      -   1
10.0.5.0        10.0.2.2        255.255.255.0   UGS   128    -      -   1
10.0.7.0        10.0.2.2        255.255.255.0   UGS   160    -      -   1
20.0.4.0        10.0.2.2        255.255.255.0   UGS   152    -      -   1

Node: 5, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.2.0        0.0.0.0         255.255.255.0   U     0      -      -   1
20.0.5.0        0.0.0.0         255.255.255.0   U     0      -      -   2
20.0.6.0        0.0.0.0         255.255.255.0   U     0      -      -   3
10.0.6.0        20.0.6.2        255.255.255.0   UGS   61     -      -   3
20.0.8.0        20.0.6.2        255.255.255.0   UGS   50     -      -   3
10.0.4.0        20.0.5.2        255.255.255.0   UGS   148    -      -   2
10.0.16.0       20.0.5.2        255.255.255.0   UGS   162    -      -   2
20.0.13.0       20.0.5.2        255.255.255.0   UGS   252    -      -   2
20.0.14.0       20.0.5.2        255.255.255.0   UGS   223    -      -   2
20.0.15.0       20.0.5.2        255.255.255.0   UGS   138    -      -   2
20.0.16.0       20.0.5.2        255.255.255.0   UGS   221    -      -   2
20.0.17.0       20.0.5.2        255.255.255.0   UGS   152    -      -   2
20.0.3.0        20.0.6.2        255.255.255.0   UGS   108    -      -   3
10.0.15.0       20.0.5.2        255.255.255.0   UGS   234    -      -   2
20.0.12.0       20.0.5.2        255.255.255.0   UGS   258    -      -   2
20.0.26.0       20.0.5.2        255.255.255.0   UGS   259    -      -   2
10.0.14.0       20.0.5.2        255.255.255.0   UGS   263    -      -   2
10.0.11.0       20.0.5.2        255.255.255.0   UGS   290    -      -   2
20.0.22.0       20.0.5.2        255.255.255.0   UGS   282    -      -   2
20.0.1.0        20.0.5.2        255.255.255.0   UGS   213    -      -   2
10.0.5.0        20.0.6.2        255.255.255.0   UGS   118    -      -   3
10.0.7.0        20.0.6.2        255.255.255.0   UGS   150    -      -   3
20.0.4.0        20.0.6.2        255.255.255.0   UGS   142    -      -   3
10.0.21.0       20.0.5.2        255.255.255.0   UGS   269    -      -   2
10.0.10.0       20.0.5.2        255.255.255.0   UGS   337    -      -   2
20.0.10.0       20.0.5.2        255.255.255.0   UGS   326    -      -   2
